id,chapter,question,option1,option2,option3,option4,correctAnswer,rationale
Question 50,Chapter 27,"By day five J.T.'s oxygenation stabilizes, and ventilator support is gradually reduced. Which subsequent finding most strongly fits the recovery described in the case?",A normal saturation maintained only by steadily increasing oxygen and ventilator pressures,A lower P/F ratio accompanied by more diffuse infiltrates,"Stable gas exchange on less support, followed by extubation and activity out of bed",Persistent deep sedation with no assessment of spontaneous breathing or activity readiness,C,"The case describes successful weaning, extubation on day seven, and transfer to a chair. Recovery is supported by gas exchange maintained with less support and increasing function, rather than a monitor target achieved through escalating assistance. (Sources: Chapter 27 slides and teacher outline: J.T. Winters case: slides 70, 72; evaluate recovery.)"
Question 51,Chapter 31,"A client with untreated hypertension has BP 214/126 mm Hg, new confusion, blurred vision, and creatinine that increased from 0.9 to 2.3 mg/dL. Which interpretation should guide the nurse's immediate plan?",Severe asymptomatic hypertension requiring routine follow-up,Chronic hypertension with expected age-related renal changes,Hypertensive emergency with acute target-organ injury,Anxiety-related hypertension requiring observation only,C,"The new neurologic changes and acute creatinine increase indicate target-organ injury accompanying severe hypertension. This requires emergency treatment and monitoring. The BP number alone does not distinguish emergency from severe hypertension without acute injury. (Source: Ch31 slides 27, 118, 121; teacher outline: hypertensive crisis.)"
Question 52,Chapter 31,The nurse receives reports on four clients. Which client should be assessed first?,A client with BP 198/120 mm Hg and new right-arm weakness and slurred speech,"A client with BP 206/116 mm Hg, no symptoms, and an unchanged neurologic examination",A client with BP 168/96 mm Hg and a history of stable chronic kidney disease,A client with BP 156/90 mm Hg who requests teaching about a low-sodium diet,A,"New focal neurologic deficits suggest acute cerebral injury and require immediate stroke evaluation. They take priority over a higher BP reading without evidence of acute injury. Chronic disease and teaching needs do not have the same immediate urgency. (Source: Ch31 slides 27, 59, 61; teacher outline: priority assessments.)"
Question 53,Chapter 31,"A client with a confirmed hypertensive emergency is on continuous monitoring, has patent IV access, and has SpO2 97% on room air. Which prescribed intervention should the nurse implement first?",Administer the scheduled oral statin for an LDL level of 184 mg/dL,Arrange a dietary consultation for a sodium-restricted meal plan,Collect the scheduled fasting lipid panel before beginning treatment,Begin the prescribed titratable IV antihypertensive with frequent BP reassessment,D,"Treating the emergency BP and limiting further organ injury take priority over lipid testing, statin administration, and dietary teaching. True hypertensive emergencies generally require monitored IV treatment; the oral-drug example in the course case should not be generalized to all emergencies. (Source: Ch31 slides 121–122; teacher outline: priority sequencing; AHA 2024 clinical clarification.)"
Question 54,Chapter 31,"A client with BP 186/118 mm Hg has glucose 248 mg/dL, LDL 181 mg/dL, BUN 34 mg/dL, creatinine 2.4 mg/dL (baseline 1.0), and new urine protein. Which finding most directly supports acute renal involvement?",The elevated LDL together with the elevated blood glucose,The creatinine increase together with new protein in the urine,The systolic BP together with a family history of hypertension,The elevated glucose together with a history of cigarette smoking,B,"A rising creatinine and new proteinuria point to impaired kidney function and renal injury. Hyperglycemia, dyslipidemia, smoking, and family history increase vascular risk but do not by themselves demonstrate acute renal dysfunction. (Source: Ch31 slides 27, 118; teacher outline: full data-set interpretation.)"
Question 55,Chapter 31,"During treatment of a hypertensive emergency, BP improves to the prescribed range. The client becomes harder to arouse, and urine output falls from 45 to 12 mL in the last hour. What is the nurse's best response?",Document that the BP goal has been reached and continue routine observations,Encourage sleep because fatigue is expected when the BP begins to decrease,Immediately reassess perfusion and alert the treating team about the deterioration,Offer additional oral fluids and wait for the next scheduled laboratory results,C,"A better BP number does not establish adequate organ perfusion. Decreasing alertness and oliguria indicate possible worsening cerebral and renal perfusion and need prompt evaluation. Oral fluids or delayed reassessment do not address the acute change. (Source: Ch31 slides 27, 123, 130–131; teacher outline: evaluating response.)"
Question 56,Chapter 31,"A client says, ""My BP has been normal for a week, so I will take my medication only when I get a headache."" Which response is best?",Checking for a headache is a reasonable way to decide when the next dose is needed,Normal readings may reflect treatment; continue the prescribed schedule and follow the provider's hold instructions,Skip medication on normal-BP days and take an extra dose if the pressure rises,"After a week of normal readings, lifestyle measures can replace the prescription",B,"Hypertension is often asymptomatic, and controlled readings may mean the medication is working. Consistent use, within prescribed parameters, helps prevent organ injury. Symptom-based dosing, doubling doses, or stopping without guidance can disrupt control. (Source: Ch31 slides 25, 29, 125; teacher outline: adherence.)"
Question 57,Chapter 31,A client started on antihypertensive therapy feels dizzy immediately after standing. The nurse assists the client back to a safe seated position. Which teaching should follow?,Sit at the bedside before standing and rise slowly with assistance if dizzy,Avoid walking during the day so the medication can reach its full effect,Take the next dose early to prevent another episode of dizziness,Restrict all fluids for the rest of the day to stabilize the circulation,A,"Slow position changes reduce falls associated with orthostatic symptoms. Ongoing symptoms require assessment, but prolonged inactivity, an extra or early dose, and indiscriminate fluid restriction do not correct the problem and may worsen risk. (Source: Ch31 slides 124; teacher outline: orthostatic safety.)"
Question 58,Chapter 31,"A client is prescribed the course's 1,600-mg daily sodium limit. Breakfast contained 350 mg, lunch 480 mg, and a snack 170 mg. Which dinner meets the remaining daily allowance?",A dinner labeled as containing 640 mg of sodium,A dinner labeled as containing 720 mg of sodium,A dinner labeled as containing 810 mg of sodium,A dinner labeled as containing 560 mg of sodium,D,"The client has consumed 350 + 480 + 170 = 1,000 mg, leaving 600 mg. The 560-mg dinner gives a daily total of 1,560 mg. Each other dinner would exceed the specifically prescribed 1,600-mg limit. (Source: Ch31 slides 28–29; teacher outline: DASH sodium target.)"
Question 59,Chapter 31,A client asks why years of poorly controlled hypertension can eventually weaken the left ventricle. Which explanation is most accurate?,The ventricle receives less venous blood because hypertension consistently lowers circulating volume,"The ventricle pumps against increased resistance, which can cause remodeling and eventual dysfunction",The ventricle stops relaxing because high BP prevents the atrioventricular valves from opening,The ventricle becomes weaker because hypertension initially eliminates its need to contract forcefully,B,"Chronic elevation of vascular resistance increases afterload and cardiac workload. Over time, ventricular remodeling can progress to impaired pumping. This mechanism is not explained by reliably decreased circulating volume, valve closure, or reduced work. (Source: Ch31 slides 24, 26; teacher outline: hypertension complications.)"
Question 60,Chapter 31,"A 68-year-old client has high LDL, smokes daily, rarely exercises, and has a parent who died of a stroke. Which plan best addresses modifiable atherosclerosis risks?",Focus on the family history because inherited risk makes lifestyle changes ineffective,Delay changes until leg pain or chest pain confirms that plaque is affecting blood flow,"Set a smoking-cessation plan, increase appropriate activity, and follow lipid-lowering treatment",Replace the statin with exercise once the client can walk without shortness of breath,C,"Smoking, activity, and dyslipidemia are modifiable risks. Age and family history cannot be changed, but they do not make prevention futile. Atherosclerosis can be asymptomatic; medication changes should not be made solely because exercise is tolerated. (Source: Ch31 slides 3, 7, 14; teacher outline: risk factors.)"
Question 61,Chapter 31,Repeated measurements show right-arm BP 166/90 mm Hg and left-arm BP 138/84 mm Hg. The left radial pulse is weaker. Which interpretation is most appropriate?,The difference is an expected age-related finding that does not require documentation,The lower left-arm reading proves that the systemic hypertension has resolved,The pattern most strongly indicates venous valve failure in the left arm,The pattern suggests arterial narrowing affecting the left arm and needs further evaluation,D,"A persistent systolic difference of 28 mm Hg with a weaker pulse suggests impaired arterial inflow on the lower-pressure side. The slides identify differences greater than 15–20 mm Hg as concerning for subclavian stenosis. This is not diagnostic by itself. (Source: Ch31 slides 12, 45; teacher outline: arterial narrowing.)"
Question 62,Chapter 31,"While assessing a client with vascular disease, a student prepares to palpate both carotid arteries at the same time. What should the supervising nurse do?",Stop the maneuver and assess one carotid artery at a time,Allow the maneuver because equal bilateral pressure improves pulse comparison,Ask the student to press more firmly to distinguish a pulse from a bruit,Replace pulse assessment with a calf circumference measurement,A,"The slides specifically caution against simultaneous carotid palpation because it can compromise cerebral blood flow. Assess one side at a time and auscultate for bruits; a bruit is a sound, not something identified by firmer palpation. (Source: Ch31 slides 12; teacher outline: vascular assessment.)"
Question 63,Chapter 31,A client reports calf cramping after walking two blocks. The discomfort resolves within several minutes of stopping and returns at about the same walking distance. The foot is cool with diminished pulses. Which condition best explains the pattern?,Chronic venous insufficiency producing dependent edema,An acute deep vein thrombosis producing venous obstruction,Peripheral arterial disease producing intermittent claudication,A ruptured aortic aneurysm producing sudden blood loss,C,"Reproducible exertional calf pain relieved by rest is intermittent claudication. Cool skin and diminished pulses further support arterial insufficiency. Venous pain more often accompanies edema and dependency; the described stable pattern does not suggest acute rupture or DVT. (Source: Ch31 slides 34, 45; study guide: PAD versus CVI.)"
Question 64,Chapter 31,"For an ABI assessment, the higher right-ankle systolic pressure is 84 mm Hg. Brachial systolic pressures are 140 mm Hg on the right and 126 mm Hg on the left. Which result should the nurse report?","ABI 0.67, showing normal arterial perfusion","ABI 0.60, supporting peripheral arterial disease","ABI 1.50, supporting normal venous valve function","ABI 1.67, confirming deep vein thrombosis",B,"Use the higher brachial pressure: 84 / 140 = 0.60. This is below the slide threshold of 0.9 and supports PAD. ABI evaluates arterial perfusion; it does not diagnose DVT or measure venous valve function. (Source: Ch31 slides 35–36, 45; teacher outline: ABI.)"
Question 65,Chapter 31,A client with PAD says foot pain now wakes them from sleep and occurs even without walking. A toe ulcer has not healed. Which interpretation should the nurse prioritize?,An expected effect of improved collateral circulation requiring reassurance,Uncomplicated intermittent claudication requiring only scheduled rest breaks,Isolated venous insufficiency requiring immediate high-pressure compression,Progression to severe chronic ischemia requiring prompt vascular evaluation,D,"Rest pain and nonhealing ulceration suggest sustained severe arterial insufficiency, beyond uncomplicated exertional claudication. The slides associate these findings with critical limb ischemia and risk of tissue loss. Compression should not be initiated indiscriminately in severe arterial disease. (Source: Ch31 slides 42, 44; study guide: arterial ulcers.)"
Question 66,Chapter 31,A client with known arterial insufficiency reports increased foot pain when the nurse places both legs on pillows above heart level. Which action is most appropriate?,Lower the affected leg to a slightly dependent position and reassess pain and perfusion,Add another pillow to increase the pressure gradient for venous drainage,Apply a tight elastic wrap before lowering the foot to mattress level,Keep the legs elevated until the pain resolves because pallor is expected,A,"A slightly dependent position can support arterial flow in PAD. Elevation above the heart may worsen ischemic pain and pallor. Tight wrapping may further compromise flow; persistent or worsening pain still requires assessment. (Source: Ch31 slides 38, 46; teacher outline: arterial positioning.)"
Question 67,Chapter 31,"One hour after femoral artery angioplasty, a client develops sudden severe foot pain and numbness. The foot is pale and cold, and the previously detectable pedal Doppler signal is absent. What should the nurse do first?",Elevate the limb above heart level and reassess in one hour,Notify the vascular team immediately for suspected acute limb ischemia,Encourage the client to walk to improve collateral circulation,Administer the PRN analgesic and defer reassessment until it takes effect,B,"New pain, sensory change, pallor, coldness, and loss of a previously present signal indicate an acute perfusion emergency after intervention. Urgent vascular evaluation is needed to protect the limb. Waiting for analgesia, walking, or elevation delays treatment. (Source: Ch31 slides 40–42, 45; teacher outline: postprocedure acute limb ischemia.)"
Question 68,Chapter 31,A client with PAD has reduced sensation in both feet. Which statement indicates that discharge teaching has been understood?,I will check my feet only when they hurt because pain is the earliest sign of injury,I will cross my legs while seated to keep pressure off the bottoms of my feet,I will wait until my next monthly visit to mention a new sore if it is painless,I will inspect the soles and between my toes every day and report new skin breaks,D,"Daily inspection includes soles and spaces between toes because reduced sensation can hide injury. New skin breakdown needs timely attention in poorly perfused tissue. Crossing legs can further impair circulation, and absence of pain does not establish safety. (Source: Ch31 slides 47; study guide: PAD nursing care.)"
Question 69,Chapter 31,A client with PAD asks why both clopidogrel and a statin are prescribed. Which explanation best connects the medications to the disease?,"Clopidogrel reduces platelet aggregation, while the statin addresses lipid-related vascular risk","Clopidogrel dissolves established plaque, while the statin immediately opens blocked arteries","Clopidogrel repairs venous valves, while the statin prevents lower-leg fluid pooling","Clopidogrel replaces activity therapy, while the statin eliminates the need to stop smoking",A,"The drugs address different contributors to atherosclerotic disease: platelet-related clot formation and lipid-related risk. Neither immediately removes an established obstruction, repairs venous valves, or replaces exercise and smoking cessation. (Source: Ch31 slides 39, 46; teacher outline: PAD management.)"
Question 70,Chapter 31,The nurse must decide which client needs urgent follow-up. Which finding is most concerning?,A client with stable claudication who stops briefly during a prescribed walk,A client with venous insufficiency whose ankle swelling decreases with elevation,A client with PAD whose toe ulcer has enlarged and developed black tissue,A client after PAD teaching who reports inspecting both feet each evening,C,"An enlarging ulcer with black tissue suggests tissue necrosis from severe ischemia and threatens limb viability. Stable exertional symptoms, reduced venous edema, and daily foot inspection do not indicate the same deterioration. (Source: Ch31 slides 9, 42, 47; study guide: arterial versus venous findings.)"
Question 71,Chapter 31,A client with carotid stenosis calls the clinic after a 10-minute episode of slurred speech and left-arm weakness that has now resolved. Which instruction is best?,Schedule a routine follow-up because symptom resolution excludes a stroke risk,Take the next statin dose early and call back if symptoms last more than an hour,Rest at home and avoid reporting another episode unless consciousness is lost,Seek emergency evaluation now because transient deficits may be a TIA,D,"Transient focal deficits may represent a TIA and warn of stroke risk even when they resolve. Prompt emergency evaluation is appropriate. Waiting for prolonged symptoms or loss of consciousness can delay time-sensitive care. (Source: Ch31 slides 53, 59, 66; teacher outline: stroke warning signs.)"
Question 72,Chapter 31,"Two hours after carotid endarterectomy, the nurse notes increasing neck swelling, stridor, and falling oxygen saturation. Which action has priority?",Place the head in a neutral position and recheck the incision at the next observation,Test tongue movement and shoulder strength before contacting the surgical team,Activate emergency assistance and prepare for airway management while notifying the surgeon,Encourage oral fluids to loosen secretions and reassess the breathing sounds,C,"An expanding neck hematoma can compress the trachea after CEA. Stridor and falling oxygen saturation require immediate airway-focused escalation. Positioning and cranial nerve checks matter, but they must not delay management of threatened ventilation. (Source: Ch31 slides 62; study guide: post-CEA complications.)"
Question 73,Chapter 31,"After carotid endarterectomy, a client has clear breath sounds, stable oxygen saturation, and no neck swelling, but develops new hoarseness and coughs when offered water. Which action is best?",Continue thin liquids in larger sips to determine whether coughing improves,"Stop oral intake, assess swallowing and airway safety, and notify the provider",Document the changes as expected and resume the regular diet,Keep the head turned toward the incision during feeding,B,"New hoarseness and swallowing difficulty may reflect vagus nerve involvement after CEA and create aspiration risk. Stop intake and obtain prompt evaluation. Stable oxygen saturation does not prove swallowing is safe, and larger sips increase risk. (Source: Ch31 slides 62; study guide: cranial nerve X.)"
Question 74,Chapter 31,The nurse checks cranial nerve function after carotid endarterectomy. Which assessment combination best matches the nerves emphasized in the teacher outline?,"Ask the client to smile, assess voice and swallowing, shrug shoulders, and protrude the tongue","Check pupil size, visual acuity, hearing, and the patellar reflex","Check near vision, extraocular movements, ankle strength, and smell","Assess the plantar reflex, grip strength, hearing, and abdominal sensation",A,"The outline emphasizes VII, X, XI, and XII: facial movement; voice/swallowing; shoulder shrug; and tongue movement. Other neurologic checks can be valuable, but the alternate combinations do not specifically assess this set. (Source: Ch31 slides 62; teacher outline and study guide: post-CEA cranial nerves.)"
Question 75,Chapter 31,"After carotid artery stenting, a client's BP falls to 82/48 mm Hg with new lightheadedness. The airway is patent, SpO2 is 97%, and lungs are clear. Which action is appropriate while the provider is urgently notified?",Raise the head of the bed to 90 degrees and restrict all IV fluids,Administer the scheduled antihypertensive to reduce carotid stimulation,Position the client flat as tolerated and prepare prescribed fluids or vasoactive support,Assist the client to walk and reassess the pressure after activity,C,"Post-carotid hypotension can compromise cerebral perfusion. With no respiratory contraindication described, the course recommends flat positioning and anticipated fluid or vasoactive support. Antihypertensive medication and upright activity may worsen the hypotension. (Source: Ch31 slides 62, 64; teacher outline: postprocedure BP.)"
Question 76,Chapter 31,"After carotid endarterectomy, BP is 184/102 mm Hg, above the surgeon's ordered range. The client is alert with no new focal deficits. Which plan is most appropriate?",Keep the head neutral with the head of bed at 30 degrees and implement prescribed BP control,Place the client flat and administer a routine fluid bolus to increase cerebral flow,Rotate the head away from the incision and delay treatment until symptoms appear,Allow the pressure to remain elevated because it always improves cerebral perfusion,A,Post-carotid BP must stay within ordered parameters to protect the repair and cerebral circulation. The slides recommend 30-degree head elevation for hypertension and a neutral head after CEA. Excess BP is not harmless merely because the examination is currently stable. (Source: Ch31 slides 64–65; teacher outline: postprocedure BP.)
Question 77,Chapter 31,A client with chronic kidney disease returns from carotid artery stenting. The client has no fluid restriction or signs of overload. Which addition to routine neurologic and access-site monitoring is most appropriate?,Restrict fluids until the contrast has been completely eliminated,Use normal pedal pulses as evidence that kidney monitoring is unnecessary,Focus only on cranial nerve XII because no contrast is used during stenting,Trend urine output and creatinine and maintain the prescribed hydration plan,D,"Contrast exposure makes renal monitoring particularly important after CAS, especially with existing kidney disease. Follow the individualized hydration plan and watch urine output and renal trends. Peripheral pulses do not assess kidney function, and fluids should not be arbitrarily restricted. (Source: Ch31 slides 62, 65; teacher outline: CAS renal priorities.)"
Question 78,Chapter 31,A client with active cancer develops a DVT after abdominal surgery and several days of limited mobility. Which explanation correctly applies Virchow's triad?,"Cancer causes stasis, surgery lowers coagulability, and immobility directly tears arterial walls","Cancer increases coagulability, surgery can injure endothelium, and immobility causes stasis","Cancer repairs endothelium, surgery increases venous return, and immobility lowers platelet activity","Cancer and immobility affect only arterial plaque, while surgery causes venous valve repair",B,"The three contributors are hypercoagulability, endothelial injury, and venous stasis. Active cancer, surgery, and immobility respectively illustrate these mechanisms and explain why combined risks increase the likelihood of DVT. (Source: Ch31 slides 88–89; teacher outline: Virchow's triad.)"
Question 79,Chapter 31,"A postoperative client develops a newly swollen, warm, tender left calf. Which nursing action is most appropriate?","Compare both legs, notify the provider, and prepare for ordered compression ultrasonography",Massage the tender area and reassess after the muscle relaxes,Perform repeated forceful ankle dorsiflexion to confirm a positive Homan sign,Apply an SCD to the symptomatic leg while awaiting the next routine assessment,A,"New unilateral swelling, warmth, and tenderness raise concern for DVT. Compare findings and obtain prompt evaluation with appropriate imaging. Homan sign is unreliable; massage and mechanical compression of the suspicious limb are not appropriate diagnostic responses. (Source: Ch31 slides 91–92, 99–100; teacher outline: DVT recognition.)"
Question 80,Chapter 31,Ultrasound confirms an acute DVT in a client's left leg. Which order should the nurse clarify before implementation?,Administer the prescribed anticoagulant after required safety checks,"Monitor for hematuria, bloody stool, and falling hemoglobin",Elevate the affected leg when resting as prescribed,Apply sequential compression to the left leg,D,"The course specifically identifies SCD use on a limb with a confirmed acute DVT as an order requiring clarification. Anticoagulation, bleeding surveillance, and appropriate resting elevation are consistent with the chapter's management plan. (Source: Ch31 slides 99–100; teacher outline: SCD safety.)"
Question 81,Chapter 31,A client with unilateral calf swelling has an elevated D-dimer after recent surgery. Which interpretation is most accurate?,The result proves the clot is in the symptomatic calf and makes ultrasound unnecessary,The result distinguishes a deep venous clot from an arterial embolus without other testing,The result does not confirm DVT; imaging is needed because other conditions can elevate D-dimer,The result proves a pulmonary embolism is present even without respiratory findings,C,"D-dimer reflects fibrin breakdown and can be elevated for reasons other than DVT, including recent surgery. It does not locate a clot or independently establish DVT or PE. Compression ultrasound is used to evaluate suspected leg DVT. (Source: Ch31 slides 92, 99; NHLBI: DVT diagnostic clarification.)"
Question 82,Chapter 31,"A hospitalized client with a proximal DVT suddenly develops dyspnea, pleuritic chest pain, HR 124/min, and SpO2 86%. Which action should the nurse take first?",Increase leg elevation and reassess the oxygen saturation in 30 minutes,Activate emergency assistance and provide oxygen while urgently assessing for pulmonary embolism,Encourage a hallway walk to reduce venous stasis before calling the provider,Give the next scheduled oral anticoagulant and wait for symptom improvement,B,"Acute hypoxemia and cardiopulmonary symptoms in a client with DVT suggest PE. Emergency escalation and oxygenation take priority. Leg positioning and scheduled medication do not address the immediate threat to gas exchange and circulation. (Source: Ch31 slides 90, 96, 99; teacher outline: DVT-to-PE connection.)"
Question 83,Chapter 31,"A client receiving IV unfractionated heparin for DVT has aPTT above the protocol range, new gross hematuria, and hemoglobin that falls from 12.1 to 9.2 g/dL. Which response is best?",Continue the infusion because a prolonged aPTT is always the desired treatment response,Increase the infusion because hematuria indicates that the clot is dissolving,Wait for the next scheduled laboratory draw because bruising is the only serious bleeding sign,Stop or hold the infusion per bleeding protocol and notify the provider immediately,D,"The combination of visible bleeding, falling hemoglobin, and excessive anticoagulation needs immediate intervention under protocol. Some prolongation may be therapeutic, but a value above range with bleeding is not a successful outcome. Hematuria is not evidence of clot dissolution. (Source: Ch31 slides 94, 99, 101; study guide: DVT care.)"
Question 84,Chapter 31,A stable client with DVT has started therapeutic anticoagulation and is cleared to ambulate. Which statement indicates a need for further teaching?,I will take my anticoagulant as prescribed and keep required follow-up appointments,I should stay in bed until every trace of the clot has disappeared,I will take movement breaks and do leg exercises during long trips,I will report blood in my urine or stool while taking this medication,B,"The chapter supports appropriate early ambulation rather than routine prolonged bed rest. This client has been treated and cleared for activity. Adherence, movement during travel, and recognition of bleeding are appropriate teaching points. (Source: Ch31 slides 100–102; teacher outline: DVT management.)"
Question 85,Chapter 31,"A client has chronic ankle edema, brown lower-leg pigmentation, and a shallow draining ulcer near the medial ankle. The foot is warm and pedal pulses are present. Which condition best fits?",Chronic venous insufficiency,Acute peripheral arterial occlusion,Rupture of an abdominal aortic aneurysm,Isolated carotid artery stenosis,A,"Edema, brown pigmentation, a shallow medial-ankle ulcer, warmth, and preserved pulses favor venous insufficiency. Arterial disease more often produces coolness, reduced pulses, and distal ischemic ulcers. The other conditions do not explain this local chronic pattern. (Source: Ch31 slides 103–105, 113; study guide: PAD versus CVI.)"
Question 86,Chapter 31,"A client with chronic venous insufficiency stands at work for long periods. Arterial perfusion has been assessed as adequate, and compression is prescribed. Which plan best addresses the cause of the symptoms?",Keep the legs dependent throughout the evening and avoid compression,Remain completely inactive after work to prevent calf-muscle contraction,"Use prescribed compression, take movement breaks, and elevate the legs when resting",Reduce skin care because covering the skin prevents venous drainage,C,"Venous valve failure promotes pooling. Prescribed compression, calf-muscle activity, avoidance of prolonged standing, and elevation support venous return and reduce edema. Dependency and inactivity worsen pooling; skin care protects vulnerable tissue. (Source: Ch31 slides 104, 107, 114–115; teacher outline: CVI management.)"
Question 87,Chapter 31,"A client labeled as having venous insufficiency is scheduled for a compression wrap. Today the foot is cold and pale, pedal pulses are absent, and pain worsens with elevation. What should the nurse do?",Apply the wrap more tightly because absent pulses indicate excess venous pooling,Withhold the wrap and obtain prompt evaluation of arterial perfusion,Elevate the foot higher and wait until tomorrow to reassess the pulses,Document the findings as typical venous insufficiency and proceed with the wrap,B,"Coldness, pallor, absent pulses, and elevation-related pain indicate an arterial problem rather than uncomplicated venous disease. Compression should be withheld pending evaluation because it could further compromise perfusion. New severe ischemic findings require urgent attention. (Source: Ch31 slides 45–46, 105, 107; study guide: arterial versus venous comparison.)"
Question 88,Chapter 31,"At follow-up after treatment for chronic venous insufficiency, which finding best indicates that the care plan is working?",Persistent severe swelling with a new open area near the ankle,A newly cool foot with a weaker pedal pulse than at the previous visit,Less ankle edema and a smaller ulcer with no surrounding redness,Increased drainage accompanied by fever and spreading warmth,C,"Reduced edema, healing skin, and no signs of infection support improvement. New ulceration, arterial perfusion changes, or fever with spreading warmth suggest complications rather than successful venous management. Old pigmentation may persist despite improvement. (Source: Ch31 slides 110, 113, 116; teacher outline: CVI outcomes.)"
Question 89,Chapter 31,"A client with a known abdominal aortic aneurysm develops sudden severe abdominal and back pain, BP 78/44 mm Hg, and HR 132/min. Which action has priority?",Activate emergency response and prepare for urgent vascular intervention,Give the routine oral antihypertensive and repeat the BP in one hour,Encourage ambulation to determine whether the pain is musculoskeletal,Schedule an outpatient ultrasound to compare the aneurysm with its previous size,A,"Sudden pain plus hypotension and tachycardia in a client with an aneurysm suggests rupture with major blood loss. Immediate emergency and vascular management is needed. Routine outpatient monitoring, walking, and a scheduled antihypertensive would delay or worsen care. (Source: Ch31 slides 72, 78, 83; Chapter 31 slides: aortic aneurysm.)"
Question 90,Chapter 31,"A client with an asymptomatic aortic aneurysm says, ""I feel fine, so I can skip my BP medicine and the next ultrasound."" Which response is best?","Medication is only necessary after back pain starts, but imaging can continue yearly if convenient","Normal daily activity proves the aneurysm is stable, so both treatments can be postponed","The statin permanently repairs the weakened vessel wall, making future imaging unnecessary","BP control limits stress on the vessel, and scheduled imaging can detect growth before symptoms occur",D,"Aneurysms may be asymptomatic before a serious complication. BP management reduces stress on the vessel wall, and surveillance tracks growth. Lack of pain does not establish stability, and statins do not repair the aneurysm or replace follow-up. (Source: Ch31 slides 72, 75, 84–85; Chapter 31 slides: aneurysm teaching.)"
Question 91,Chapter 31,"Brian More presents with BP 180/122 mm Hg, headache, blurry vision, BUN 28 mg/dL, creatinine 2.2 mg/dL, and urine protein. Which explanation best supports the case study's classification as a hypertensive emergency rather than urgency?",The diastolic BP alone establishes an emergency regardless of the other assessment findings,His elevated LDL and triglycerides establish that an acute stroke has already occurred,The severe BP elevation is accompanied by findings concerning for target-organ injury,His history of DVT establishes that a pulmonary embolism is causing the high BP,C,"The teacher outline distinguishes emergency from urgency by evidence of acute target-organ involvement, not the pressure alone. In the supplied case, visual symptoms and renal abnormalities support that concern. Dyslipidemia and previous DVT are risk/history findings, not proof of an acute stroke or PE. The case does not provide a baseline creatinine, so the nurse should evaluate the complete presentation rather than infer an acute change from that value alone. (Sources: Chapter 31 Brian More case study; teacher outline, Chapter 31. Outline focus: Recognize cues; distinguish emergency from urgency. Slides 118, 121, 126–127.)"
Question 92,Chapter 31,"Brian's admission results include fasting glucose 250 mg/dL, LDL 180 mg/dL, HDL 30 mg/dL, triglycerides 300 mg/dL, BUN 28 mg/dL, creatinine 2.2 mg/dL, and positive urine protein. Which handoff statement most accurately separates probable organ involvement from vascular risk?",The renal results suggest kidney involvement; the lipid pattern and hyperglycemia add vascular risk,The lipid results establish acute kidney injury; the renal results mainly predict future plaque formation,The glucose result establishes retinal hemorrhage; the lipid results confirm left ventricular hypertrophy,"All of these results are risk factors only, so none warrants assessment for current organ damage",A,"Elevated BUN and creatinine with proteinuria support probable renal involvement. Dyslipidemia and hyperglycemia increase vascular risk but do not independently diagnose retinal hemorrhage or left ventricular hypertrophy. The outline specifically calls for interpreting the full data set to distinguish probable damage from risk. (Sources: Chapter 31 Brian More case study; teacher outline, Chapter 31. Outline focus: Analyze the complete laboratory data set. Slides 118–119.)"
Question 93,Chapter 31,"Brian has persistent BP 180/122 mm Hg with headache and blurry vision. His SpO2 is 96%, and he has no respiratory distress. The prescribed plan includes treatment of his crisis BP, a routine fingerstick, and his daily statin. Which nursing priority best follows the teacher outline?",Obtain the routine fingerstick first because any glucose above 200 mg/dL outweighs symptomatic hypertension,Administer his daily statin first because lowering LDL will immediately correct the crisis BP,Begin routine oxygen first because oxygen takes priority even when oxygenation is adequate,Implement the prescribed crisis-BP treatment with close monitoring before routine glucose and lipid-related tasks,D,"The outline prioritizes treatment of symptomatic crisis BP over routine statin administration and routine glucose checks. His stated oxygenation and breathing do not create an immediate oxygenation priority. Glucose monitoring remains necessary, but this case gives no signs of a competing acute glucose emergency. Use the prescribed emergency plan and monitoring; this item tests priority, not a universal drug or route. (Sources: Chapter 31 Brian More case study; teacher outline, Chapter 31. Outline focus: Sequence orders during the symptomatic crisis. Slides 118, 122, 130.)"
Question 94,Chapter 31,A nurse plans admission monitoring for Brian while his symptomatic hypertension is treated. Which plan most completely follows the teacher outline?,Frequent BP and HR checks with neurologic and renal assessment deferred until the BP becomes normal,"Frequent BP and HR checks, strict intake/output, glucose monitoring, and neurologic/cranial nerve screening","Daily lipid testing, weekly weights, and an end-of-shift BP check while the medications take effect",Continuous oxygen saturation monitoring with glucose and urine output checked only if he becomes confused,B,"The teacher outline explicitly includes vital signs, intake/output, glucose, and neurologic/cranial nerve screening during the crisis. These monitor hemodynamic response, renal status, diabetes, and possible cerebral complications. Follow that broader outline even though the original slide multiple-response item emphasizes vital signs, intake/output, and glucose. (Sources: Chapter 31 Brian More case study; teacher outline, Chapter 31. Outline focus: Plan priority assessments during a hypertensive crisis. Slides 123, 130; teacher outline governs the full assessment set.)"
